Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
"Global Director, Regulatory Operations, Rims & DMS Lead",,
"Senior Manager, Operations Global Service Centers",,
Pharma Reg Affairs CMC Specialist,,
"Assistant General Manager, Quality Assurance",,
"Planning Director, Supply Chain",,
Compliance Lead,,
QA Device Director,,
EVP,,
Director IT Operations Security & Quality Systems,,
Quality Assurance-Post Market Data and Risk Management,,
BioPharma Segment Specialist,,
Manufacturing Engineering Intern,,
Sr. Software Validation Engineer,,
"Director, IT",,
"Director, Commercial Operations Anz",,
"Commercial Quality Manager, Related Research Activities",,
Managing Partner,,
Rau Consulting,,
Head of Quality IT Systems & Data Governance,,
"Director, Sales & Marketing",,
Cell & Gene Therapy Automation and Digital Product Manager,,
Associate Director Validation and Applied Engineering,,
Vendor Manager,,
Head of QA dep.,,
"Chief Learning Officer and Director, Sales",,
"Director, Research & Development",,
QMS Associate,,
"Senior Director, Information Technology Governance & Project Management Office",,
Industry Principal - Life Sciences,,
Associate Professor,,
"Manufacturing and Site Head, CSL Behring Australia",,
Sr Director of QA,,
Manager manufacturing & service,,
"Director, GMP Quality Assurance",,
"Vice President, Quality & Regulatory Affairs",,
Sr. Manager Validation Compliance,,
Vice President Enterprise Operations,,
"Senior Director & Head, Information Technology",,
Director of Compliance and Cold Chain Excellence,,
IT Compliance Business Analyst,,
Chairman of the Board and Chief Medical Officer,,
Director Quality Operations,,
"Senior Manager, Manufacturing Operations",,
Dr.,,
Validation SME,,
Senior Manager Audits,,
"Senior Manager, Global QRA",,
Project Quality Manager,,
"Head of Digital, Facilities & Lab Operations",,
Head of Projects,,
Principal Clinical Compliance Lead,,
Safety Physician,,
"Director - Field Management, South",,
Process Engineer,,
Head of Quality and Regulatory - Cirdan Ltd,,
Director - Global Alliance Management,,
Quality and Regulatory Specialist,,
"Associate Director, Computer Systems Validation",,
"Director, Human Factors and Director, Research",,
Manufacturing Support Specialist II,,
Senior.Manager,,
AVP Manufacturing,,
QA Consultant,,
"Manager, Quality Systems",,
"Senior Product Manager, Digital",,
Lead Consultant,,
Head Of Information Technology,,
"Associate Director, Clinical Quality Assurance",,
"Global Director, IT Infrastructure, Operations & Cybersecurity",,
Quality Assurance Administrator,,
Practice Partner,,
Executive VP (APAC),,
Iso 15189 Lead For The Cap 15189 Accreditation Program Assessor,,
VP Manufacturing,,
Group Head of IT,,
Quality Control Systems Manager,,
"Vice President, Supply Chain",,
Senior Lecturer,,
Instructor,,
Director of Quality and Regulatory,,
Directrice Maintenance et Fiabilitâ€šÃ Ã¶Â¬Â© - Maintenance & Reliability Director,,
"Manager, Quality Control Presso Recipharm",,
General  Manager,,
"Senior Vice President, Manufacturing (Taiwan)",,
Director Engineering,,
Quality Supervisor,,
Quality Manager Texas,,
Manager Quality Control,,
Validation Manager,,
Design Assurance Manager,,
GMP Consultant,,
"Senior Manager, Car T Manufacturing Operations",,
"Vice President, Manufacturing",,
Head of Manufacturing,,
GMP & Quality Training Manager,,
"Director, Digital Engineering",,
Head of Quality Management,,
Manufacturing / Manager Operations,,
"Director of Global Operations, Medical Devices External Manufacturing",,
"Senior Director, Process Development",,
Supply Partner Phorum Leader And Operations Team Member For BioPhorum,,
"Senior Manager, Global RDQA - PV Audit",,
Professor/Academic Position,,
"Manager, Melbourne Manufacturing Centre",,
Customer Feedback Manager,,
Sr.Manager QA,,
"Manager, Product Quality",,
Clinical Research Associate,,
Principal CQA Specialist,,
"Executive Director, Operational Excellence and Learning & Development for Manufacturing and Supply",,
Chemist,,
Director for QA and Product Development,,
Staff Quality Engineer,,
GM,,
"Global Manager, Regulatory Affairs",,
"Manager, Quality & Regulatory",,
"Global Head, Business Process Reengineering, Global Drug Development Operations",,
Computerized Systems Validation,,
SENIOR QUALITY ASSURANCE MANAGER,,
Project Manager / Auditor,,
"Manager, IT Manufacturing Systems",,
Sr Business Development Mgr,,
"Director, Quality, Service Delivery & Compliance International",,
Chief Inspector,,
"Manager, Registered Pharmacist",,
Karyawan Tetap,,
Global Quality Systems Manager,,
Senior QA Director,,
"Manager, Audit",,
Life Science and Chemical Managing Partner,,
Director (R and D Innovation),,
Senior Analyst,,
No Seniority Level Specified,,
Technical Marketing Manager Medical,,
"Manager, Document Control",,
Lead Document Control Associate,,
"Senior Director, Quality",,
Business Development Executive,,
Global Digital Mes E2e Leader,,
Director of Quality Assurance & Regulatory Affairs,,
"Sr. Manager, Quality Assurance",,
"Manager, Functional Safety",,
Director of QA/RA,,
"Global Director, Ra&Quality Assurance",,
Associate Director QA Compliance,,
Renaud ROYER - MasterControl Program Manager,,
"Senior Manager, Information Technology Operations & Digital Integration",,
Senior Principle Engineer-R and D Engineering,,
Compliance & Quality Manager,,
"Manager, Information Technology",,
Chief Technology Officer,,
Test Engineer and Manager,,
Production Scientist,,
Qualification Manager,,
"Manager, Quality Assurance Ra",,
Validation Lead,,
Quality Manager and RP,,
Head of Core Technology,,
Manufacturing Support Lead,,
Global Owner-Engineering Validation,,
"Customer Relations , Quality Services Head (APAC)",,
RAQA Manager,,
Principal Quality Officer,,
Vice President - Central Quality,,
Stem Cell Biologist,,
Senior Scientist I,,
"VP, Regulatory Affairs and Quality",,
Performance Improvement Coordinator,,
"Senior Director, Milford Operations",,
Head Of Production,,
Senior Quality Scientist,,
Quality / Compliance Manager,,
Executive,,
Quality Head of Commercial,,
Quality Systems Administrator,,
Quality and Regulatory Program Manager,,
Senior Manager Quality Control,,
Executive (C-Level Or Vice President),,
Quality Assurance Manager  Scientific Advisor,,
Engineer Trainee,,
Validation Officer,,
Executive Vice President,,
Quality Assurance Manager and QP,,
"Fulfillment Quality, Europe",,
QA Director-UK Operations,,
Project / Manufacturing Lead,,
Digital Transformation & Industry 4.0 Project Manager,,
"Senior Director, Engineering & Validation",,
Quality Manager- Woodstock Site and Quality Systems,,
Associate Director Quality R and D,,
General Counsel,,
"Development Manager, Quality Assurance",,
Compliance Engineer,,
"Associate Manager, Manufacturing and Supply Chain Systems",,
Operation Intern,,
Quality Management System Executive,,
"Senior Vice President, Manufacturing",,
Assistant QM Petfood Sparte,,
Business Unit Head / General Manager - Famar Health Care Services (Madrid),,
Head Of Quality Uk Nl Be,,
Quality Assurance Analyst,,
Quality Assurance Document Manager,,
"Senior Supervisor, Manufacturing",,
Responsabile controllo qualitÃ ,,
"Regional Supply Chain and Technical Operations Director, Asia-Pacific",,
Individual Contributor,,
GMP Advisor,,
Quality & Regulatory Specialist,,
Document & Data Systems Manager,,
Quality Inspector,,
"Senior Supervisor, Operations Quality & Logistics",,
Business Development,,
"Associate Director, External Manufacturing",,
Cnonsultant and Advisor,,
"Manager, Batch Product Record Review",,
Senior Executive,,
"Senior Manager, Facility and Supply Chain",,
Estimator,,
Clinical Program Manager - Adult and Pediatric Apheresis,,
Site Manager,,
Quality Assurance Manager/SQF Practitioner,,
Director of Global Engineering,,
R&D Application Consultant,,
Director Quality Assurance Operations,,
QA/QC - Center for Integrated Diagnostics,,
Market Segment Manager,,
GMP and GDP Consultant,,
QA Engineer,,
"Associate Director, Quality Assurance",,
"Director, CMC Quality Assurance and External Quality",,
Quality Assurance Department,,
"Chief Operations Officer, Quality, Regulatory and Compliance",,
Global Regulatory Affairs Manager,,
Sustaining Engineering QA Manager,,
Senior Business Process Analyst,,
Field Servive Engineer,,
"Vice President, Strategic Projects & Information Technology Systems",,
"Program Director, Quality and Regulatory",,
Development Engineer,,
Bd Director For R&D,,
Senior Director Quality,,
Computer System Validation and Data Integrity Lead,,
"Senior Project Manager, Information Technology",,
CSV Department Lead,,
Sales,,
"Vice President, Production & Product Compliance",,
Life Sciences Product Manager Marketing,,
Quality Assurance Team Lead,,
Sr. Director of Operations,,
Computer Scientist,,
"Senior Manager, Equipment Engineering",,
Ali Plant QA Head,,
Head of Supplier Quality Engineering,,
"Senior Director, Marketing",,
Self Contract Internal Auditor for ISO 9001:2015,,
QA and Training Specialist,,
"Senior Specialist, NDT Level 3 (Pt, Rt, UT), Responsible Level 3",,
"Global Vice President, Marketing",,
QMSM/RA,,
IT Systems Manager,,
Head of QA Data Quality Compliance,,
"Director, Automation Solutions",,
Controls Engineer,,
"Senior Director, Information Technology, Global Manufacturing & Scm",,
GM IT,,
Life Sciences Risk Engineering Specialist,,
HD,,
Quality Unit Director,,
Licensing Services Quality Technician,,
Corporate Quality Assurance,,
Marketing Specialist,,
Senior Technical Product Owner,,
Head of Medical Devices,,
Computer System Validation Specialist,,
Quality and Compliance Manager,,
QA/RA Compliance IT,,
HEAD-Research and Quality Assurance Department,,
Vice President Advanced Manufacturing Engineering,,
"Executive Vice President, CMC",,
Director IT,,
"Director, Business Development",,
Scientist Vector Process Devel,,
"Service Management Manager, Information Technology",,
Head of Radiopharmacy Production,,
QA Manager UK Ireland Responsible Person RP RPi,,
QC II,,
Owner and Sales,,
Na,,
Quality Assurance Auditor Specialist,,
Supervising SRS,,
Customer Service Representative,,
Senior Staff Engineer,,
Consultant Business Development,,
Research Scientist,,
Quality Auditor and Improvement Specialist,,
Senior Manager Regulatory Affairs,,
PMO,,
Senior Research,,
Manager  Platform Quality Assurance,,
Director of Corporate QA,,
"Senior Director, Clinical Quality Assurance",,
Director of Quality Assurance and Regulatory Affairs,,
R and D Manager,,
Director of Operations InStore Services WM Samâ€™s US Retail,,
"Director, Product Quality, Manufacturing and Process Technologies",,
Publisher,,
Validation Specialist,,
"Director, RA and QA",,
"Vice President, Regulatory and Quality",,
Quality Systems Associate Director,,
"Director, Quality System",,
Quality Assurance Officer,,
"Manager, Strategic Marketing",,
CSV Engineer,,
Biosciences QA Specialist,,
"Regulatory Manager, Quality Assurance",,
Senior Quality Systems Engineer,,
Research & Development Scientist,,
"Senior Manager, Clinical Operations",,
Validation and regulatory manager,,
SVP & Chief Quality Officer,,
Quality Manager and IT Business Analyst,,
Change Manager,,
Director of Quality Assurance Regulatory Affairs,,
"Director, Northeast Operations",,
"Quality Manager, Operations",,
"Senior Director, External Quality, Supplier Quality",,
Pharma Quality System Specialist,,
"Global Vice President, Marketing & Chief Innovation Officer",,
RA/QMS Manager,,
"Senior Manager, Software Quality Assurance",,
Quality Assurance Quality Control Manager,,
eQMS System Administrator,,
Associate Director Quality Assurance,,
Group Technical Manager,,
Food Safety Specialist,,
"Manufacturing, Gene Therapy Operations Head",,
R&D Laboratory Engineer + MC Sysadmin,,
Assistant Project Manager,,
Computerized Systems Validation Engineer,,
"Head of Manufacturing Solutions & Digital Plant Program, Merck Life Science IT",,
Lead L Operational Excellence in Quality,,
éƒ¨é•·,,
Vice President Global Quality Services,,
Quality Operations Head,,
"Manager, ERP Systems",,
"Corporate Head, Quality Assurance",,
Corporate Senior Vice President Global Quality,,
Postgraduate,,
Production Documentation Specialist,,
QE,,
QAQC Corporate,,
Senior Process Expert,,
Business Development / Sourcing Manager,,
Microbiologist,,
QA Junior Assistant,,
"Associate Director, Quality",,
Manufacturing Lead,,
Design Engineer,,
System and Process Owner,,
"Senior Product Manager, Data Solutions",,
Research Nurse Manager,,
BRQC QMS Oversight Quality Manager III-CoE Lead (Consultant),,
Senior Manager Global Quality,,
Senior Production Coordinator,,
Director of Quality Control,,
QA Operations Manager/Trainee QP,,
"Senior Executive, Engineering",,
Head Clinical Quality Assurance,,
Head QA Development,,
Team Manager Quality Assurance,,
Director of Quality Risk and Compliance,,
Senior Director GCP Quality,,
FSQA Manager,,
Senior Quality Systems Manager,,
QA Compliance Specialist,,
Assistant Manager QC,,
Regulatory Affairs Coordinator,,
QA Manager & QP,,
Senior Regulatory Affairs Manager,,
R and D Quality Associate,,
Examiner,,
Group Manager Regulatory Compliance,,
QA Group Manager,,
Chief Manufacturing and Supply Chain Officer,,
"Director, Global Regulatory Affairs",,
Quality systems Specialist II,,
Computer Systems Validation Manager,,
Quality Director Germany Qualified Person AMG 15 Prokurist,,
Head of QA and RA,,
Associate Director Quality Systems and Compliance,,
Process Engineering Manager,,
Director Quality Management & Regulatory Affairs,,
Manager QA Processtrending & Riskmanagement,,
Quality Assurance Manager Design Controls,,
Dir of IT,,
Vice President of Marketing & Communcations,,
Senior Quality Manager & Team Lead Compliance,,
Vice President of Global Quality,,
Executive Director Quality,,
