acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
Sterile injectables,CMO,Blood & Biologics,QA eCompliance Manager,a0dPQ000001LohBYAS,0030c00002sXyOZAA0,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Email,2024-08-01
Sterile injectables,CMO,Blood & Biologics,QA eCompliance Manager,a0dPQ000002Nl57YAC,0030c00002sXyOZAA0,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Email,2024-11-26
Specialty Chemical Manufacturing,In-House,Non-Life Science,,a0d3t00000koFgGAAU,0030c00002sYG1dAAG,Recycled,No Priority,Americas,Small,Qx,Qx,Email,2024-01-12
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Quality Assurance Manager,a0dPQ000004KVi5YAG,0030c00002sZTcSAAW,Recycled,P1 - Webinar Demo,Americas,Large,Logbooks,Mx,External Demand Gen,2025-04-28
Surgical instruments,CMO,Medical Device,Manager Operations,a0dPQ000005i2OEYAY,0030c00002tcaxFAAQ,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-20
Diagnostic Equipment,CMO,Medical Device,Training/Documentation,a0dPQ000008ZeE5YAK,0030c00002uNhvfAAC,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Direct/Inbound,2025-09-09
Small-molecule API,CMO,Pharma & BioTech,Quality Assurance Manager,a0dPQ000004BeKnYAK,0030c00002uMF6SAAW,Won,Priority 2,Americas,Medium,Platform,Qx,SEO,2025-04-14
Biologic API,In-House,Pharma & BioTech,Head of Quality,a0dPQ00000625zTYAQ,0030c00002uOQXJAA4,SQL,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,Email,2025-06-30
Not Enough Info Found,Outsources Manufacturing,Medical Device,,a0dPQ000000NiI5YAK,0030c00002uOUGxAAO,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-02-22
mRNA / LNP therapeutics,CDMO,Pharma & BioTech,QA Tech Specialist II,a0dPQ000005furOYAQ,0030c00002uMcJ6AAK,Recycled,Priority 2,Americas,Large,Mx,Mx,Direct/Inbound,2025-06-19
,,Non-Life Science,Quality Manager,a0dPQ000000NBFhYAO,0030c00002uNDfLAAW,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-02-21
Non-manufacturing organization,Outsources Manufacturing,Non-Life Science,QC/Process Improvement Director,a0d3t00000knqYeAAI,0030c00002vnyAjAAI,Recycled,Priority 2,Americas,Medium,MISSING/BLANK,Qx,SEO,2024-01-09
,,Non-Life Science,Program Director Clin Asc Professional Fsc Conhi Clinical Research Management,a0dPQ000000KdI9YAK,0030c00002uNRTNAA4,Recycled,Priority 2,Americas,Medium,MISSING/BLANK,Qx,Email,2024-02-15
Sterile injectables,In-House,Pharma & BioTech,Senior  Quality Engineer,a0dPQ000004DfRFYA0,0030c00002vo9mpAAA,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2025-04-16
Nutraceutical manufacturing,In-House,Pharma & BioTech,QA Manager,a0dPQ000004AwejYAC,0030c00002voNjBAAU,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2025-04-11
Single-use disposables,In-House,Medical Device,"Manager, Customer Success & Quality",a0dPQ000001PNDlYAO,0030c00002voXCVAA2,Recycled,Priority 1,Americas,Medium,Qx,Qx,Direct/Inbound,2024-08-08
Animal Health,Not Enough Info Found,Pharma & BioTech,Director,a0dPQ000000MXOjYAO,0030c00002voYqiAAE,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-02-20
Non-manufacturing organization,In-House,Pharma & BioTech,Research Development Quality Assurance Manager,a0dPQ000002Y0xJYAS,0030c00002vogWcAAI,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-16
Non-manufacturing organization,Services / Consulting,Non-Life Science,QMS,a0dPQ000007nYVxYAM,0030c00002vpW2NAAU,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,Online Ads,2025-08-18
Not Enough Info Found,In-House,Medical Device,NPI Quality Manager,a0dPQ000003Zz2JYAS,0030c00002whOwIAAU,SQL,No Priority,EMEA,Medium,MISSING/BLANK,Qx,MISSING/BLANK,2025-02-20
Vaccines,In-House,Pharma & BioTech,Director Audit QA,a0dPQ000001Vx85YAC,0030c00002voxJ8AAI,Recycled,Priority 2,EMEA,Large,Qx,Qx,External Demand Gen,2024-08-22
Non-manufacturing organization,Services / Consulting,Non-Life Science,Consultant,a0dPQ000001deUrYAI,0030c00002whZsAAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Direct/Inbound,2024-09-06
Non-manufacturing organization,Services / Consulting,Non-Life Science,Consultant,a0dPQ000004W5IPYA0,0030c00002whZsAAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2025-05-15
Non-manufacturing organization,Services / Consulting,Non-Life Science,Consultant,a0dPQ000009ggc0YAA,0030c00002whZsAAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-10-07
Small-molecule API,CMO,Pharma & BioTech,Vice  President Of quality assurance,a0dPQ000004KGxZYAW,0030c00002vpAefAAE,Recycled,P1 - Webinar Demo,Americas,Large,Logbooks,Mx,External Demand Gen,2025-04-28
Nutraceutical manufacturing,In-House,Pharma & BioTech,President/CEO,a0dPQ0000027WjdYAE,0030c00002whgdFAAQ,Recycled,Priority 1,Americas,Small,Mx,Mx,SEO,2024-10-30
Non-manufacturing organization,Not Enough Info Found,Non-Life Science,Managing Director,a0dPQ000000bGvRYAU,0030c00002whlqKAAQ,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-03-28
Lab Instruments,Not Enough Info Found,Pharma & BioTech,Senior Regulatory Affairs Specialist,a0dPQ000003AZpBYAW,0030c00002whyekAAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-02-04
Dental instruments,In-House,Medical Device,Manufacturing  Manager,a0dPQ000002xaBEYAY,0030c00002whWtJAAU,Recycled,Priority 2,Americas,Large,Qx,Qx,Directory Listing,2025-01-28
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,Dr,a0dPQ000000EbnhYAC,0030c00002whjwnAAA,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2024-02-01
,,Medical Device,Quality & CM Operations Manager,a0dPQ000000JdqTYAS,0030c00002xBbtnAAC,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-13
,,Medical Device,Quality & CM Operations Manager,a0dPQ000002ZILtYAO,0030c00002xBbtnAAC,Recycled,P1 - Contact Us,Americas,Small,Qx,Qx,External Demand Gen,2024-12-18
,,Medical Device,Quality & CM Operations Manager,a0dPQ0000044D7dYAE,0030c00002xBbtnAAC,Recycled,No Priority,Americas,Small,Mx,Mx,Outbound Prospecting,2025-04-01
,,Medical Device,Quality & CM Operations Manager,a0dPQ000009EvEAYA0,0030c00002xBbtnAAC,Recycled,P1 - Webinar Demo,Americas,Small,Qx,Qx,External Demand Gen,2025-09-26
Monoclonal antibodies (mAbs),In-House,Pharma & BioTech,DIR MFG,a0dPQ000001FPWzYAO,0030c00002xCJcrAAG,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-07-17
Implantable devices,In-House,Medical Device,Vice  President Of operations,a0dPQ000005ZD5xYAG,0030c00002xBcVrAAK,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-17
Diagnostic Equipment,Not Enough Info Found,Medical Device,Engineer,a0dPQ000002jd45YAA,0030c00002xCfc2AAC,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2025-01-14
Animal Health,CDMO,Pharma & BioTech,Director Compliance,a0dPQ0000010c9ZYAQ,0030c00002xByvbAAC,SQL,Priority 1,Americas,Small,Mx,Mx,Online Ads,2024-06-10
Nutraceutical manufacturing,CMO,Pharma & BioTech,Director,a0dPQ000001zMHZYA2,0030c00002xD5mKAAS,Recycled,Priority 2,Americas,Small,Quality,Qx,Email,2024-10-15
Nutraceutical manufacturing,CMO,Pharma & BioTech,Director,a0dPQ000002HadpYAC,0030c00002xD5mKAAS,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-11-15
Diagnostic Equipment,In-House,Medical Device,Program Manager,a0dPQ000003uvOTYAY,0030c00002xCG9OAAW,Recycled,P1 - Video Demo,Americas,Medium,Mx,Mx,Online Ads,2025-03-17
Diagnostic Equipment,In-House,Medical Device,Program Manager,a0dPQ000004u6N0YAI,0030c00002xCG9OAAW,Recycled,No Priority,Americas,Medium,Mx,Mx,Online Ads,2025-05-30
"Cell therapies (CAR-T, NK)",In-House,Blood & Biologics,Chief Operating Officer,a0dPQ000008CPngYAG,0030c00002xDUmQAAW,Recycled,No Priority,Americas,Small,MISSING/BLANK,Qx,Outbound Prospecting,2025-08-28
Small-molecule API,CMO,Pharma & BioTech,Quality Engineer & Manager,a0dPQ000006rgyYYAQ,0030c00002xCsO4AAK,Recycled,P1 - Contact Us,Americas,Medium,Qx,Qx,Online Ads,2025-07-22
Nutraceutical manufacturing,CMO,Pharma & BioTech,Director of Quality Control/ R & D,a0dPQ000003aAf3YAE,0030c00002xDDslAAG,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-02-20
Nutraceutical manufacturing,CMO,Pharma & BioTech,Director of Quality Control/ R & D,a0dPQ0000045i9SYAQ,0030c00002xDDslAAG,,Priority 2,Americas,Medium,Logbooks,Mx,Email,2025-04-03
Single-use disposables,In-House,Medical Device,Director of Compliance,a0dPQ000002DuuTYAS,0030c00002xDPzgAAG,Recycled,No Priority,Americas,Large,Qx,Qx,External Demand Gen,2024-11-11
3D-printed implants,In-House,Medical Device,Spécialiste en Assurance Qualité,a0dPQ000000h9PpYAI,0030c00002xDUbwAAG,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-04-15
Not Enough Info Found,In-House,Medical Device,Dir of Regulatory Affairs,a0dPQ000001GA66YAG,0030c00002xDYjxAAG,Recycled,Priority 1,Americas,Small,Qx,Qx,Email,2024-07-18
Not Enough Info Found,In-House,Medical Device,Dir of Regulatory Affairs,a0dPQ000002UqHlYAK,0030c00002xDYjxAAG,Recycled,P1 - Webinar Demo,Americas,Small,Qx,Qx,Email,2024-12-10
Lasers,In-House,Medical Device,"Vice President, Operations",a0dPQ000005qLblYAE,0030c00002ykIaEAAU,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-24
Transdermal patch,In-House,Medical Device,Owner/CTO,a0dPQ00000Fg0cVYAR,0030c00002ykhFGAAY,Recycled,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2026-01-02
Nutraceutical manufacturing,Outsources Manufacturing,Pharma & BioTech,Quaity Specialist,a0dPQ000004MZWHYA4,0030c00002ykQPJAA2,SQL,P1 - Contact Us,Americas,Medium,Quality,Qx,Outbound Prospecting,2025-05-01
Sterile injectables,Not Enough Info Found,Medical Device,eQMS Project Manager,a0dPQ0000021UFpYAM,0030c00002ykYHkAAM,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-10-18
Drug discovery & development,In-House,Pharma & BioTech,Senior Director Quality Assurance,a0d3t00000kohYKAAY,0030c00002ylC8OAAU,Recycled,No Priority,Americas,Medium,Qx,Qx,External Demand Gen,2024-01-18
Surgical instruments,CDMO,Medical Device,Quality Manager,a0dPQ000001VPb3YAG,0030c00002ylU8JAAU,Recycled,Priority 1,Americas,Medium,Qx,Qx,External Demand Gen,2024-08-21
Enzymes,In-House,Pharma & BioTech,Quality Assurance Specialist,a0dPQ00000466oPYAQ,0030c00002yl2HoAAI,Recycled,Priority 2,Americas,Medium,Logbooks,Mx,Email,2025-04-04
In-vitro diagnostic (IVD) kits,CMO,Medical Device,Quality Manager,a0dPQ000000BpNNYA0,0030c00002yl2PXAAY,Recycled,No Priority,Americas,Medium,Qx,Qx,External Demand Gen,2024-01-25
Single-use disposables,In-House,Medical Device,Quality Environmental Technician,a0dPQ000000NhKPYA0,0030c00002yl5gQAAQ,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-02-22
Non-manufacturing organization,Not Enough Info Found,Medical Device,Principle Quality Specialist,a0dPQ000000NBkLYAW,0030c00002ym4khAAA,Recycled,Priority 2,APAC & Oceania,Medium,Quality,Qx,Email,2024-02-21
Small-molecule API,CMO,Pharma & BioTech,Sales Director,a0dPQ000000EHozYAG,0030c00002ylC7aAAE,Recycled,Priority 2,Americas,Medium,Manufacturing,Mx,Email,2024-01-31
Patient monitoring systems,In-House,Medical Device,Project Manager,a0dPQ000000O445YAC,0030c00002ylogxAAA,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-23
Patient monitoring systems,In-House,Medical Device,Project Manager,a0dPQ000001FzllYAC,0030c00002ylogxAAA,Recycled,Priority 1,EMEA,Medium,Quality,Qx,Email,2024-07-18
Radiopharmaceuticals,CDMO,Pharma & BioTech,Sr Quality Manager Project Management,a0dPQ000001QsDtYAK,0030c00002ym2oPAAQ,Recycled,No Priority,Americas,Medium,Platform,Qx,Outbound Prospecting,2024-08-12
Specialty Chemical Manufacturing,In-House,Non-Life Science,Business Systems Analyst,a0dPQ000004Df9VYAS,0030c00002ymXo4AAE,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Direct/Inbound,2025-04-16
Not Enough Info Found,In-House,Non-Life Science,Quality,a0dPQ000005tJtZYAU,00330000001E9eVAAS,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-06-25
Single-use disposables,In-House,Medical Device,"Systems Admin - Senior Specialist, Quality Applications",a0dPQ000000SJJ3YAO,00330000003ywkMAAQ,SQO,Priority 2,Americas,Medium,Quality,Qx,Direct/Inbound,2024-03-04
Blood and Plasma-related products,In-House,Blood & Biologics,QA supervisor,a0dPQ000007hLy2YAE,0033000000CzC3gAAF,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2025-08-14
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,QA Manager,a0dPQ000001mIEzYAM,0033000000LHDLdAAP,SQL,Priority 1,Americas,Medium,Qx,Qx,SEO,2024-09-25
Specialty Chemical Manufacturing,In-House,Non-Life Science,Technical Director,a0dPQ0000049nFJYAY,0033000000LWiI1AAL,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2025-04-10
Combination products,CDMO,Medical Device,IT Compliance Manager,a0dPQ000004WCWnYAO,0033000000LHBNqAAP,Recycled,P1 - Contact Us,Americas,Large,MISSING/BLANK,Qx,SEO,2025-05-15
Cosmetics manufacturing,CDMO,Pharma & BioTech,Chief Executive Officer,a0dPQ000000LPGLYA4,0033000000LztNEAAZ,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-16
Not Enough Info Found,In-House,Non-Life Science,Quality Manager,a0dPQ000000ZK0fYAG,0033000000M00hbAAB,SQO,Priority 1,Americas,Medium,Mx,Mx,External Demand Gen,2024-03-22
,,Medical Device,Corporate Regulatory Compliance Manager,a0dPQ000000RSY5YAO,0033000000MGWmJAAX,,Priority 2,EMEA,Medium,Quality,Qx,Direct/Inbound,2024-03-01
,,Medical Device,Corporate Regulatory Compliance Manager,a0dPQ000000XO6pYAG,0033000000MGWmJAAX,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Direct/Inbound,2024-03-18
,,Medical Device,Corporate Regulatory Compliance Manager,a0dPQ000001MNS1YAO,0033000000MGWmJAAX,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Email,2024-08-02
Not Enough Info Found,In-House,Non-Life Science,Quality Manager,a0dPQ0000024mjFYAQ,0033000000MHj04AAD,Recycled,Priority 1,Americas,Medium,Qx,Qx,SEO,2024-10-25
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,President and Principal Consultant,a0dPQ000000KdV3YAK,0033000000MWiMwAAL,Recycled,Priority 2,Americas,Small,Manufacturing,Mx,Direct/Inbound,2024-02-15
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Development Manager,a0dPQ000006j5hdYAA,0033000000MXuBMAA1,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2025-07-18
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,Sr. Project Manager,a0dPQ000003gnKXYAY,0033000000MXf3jAAD,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-02-25
Nutraceutical manufacturing,CMO,Pharma & BioTech,Vice President-Logistics/Traffic,a0dPQ00000C3gIRYAZ,0033000000Ma8NIAAZ,SQL,P1 - Contact Us,Americas,Medium,Mx,Mx,Directory Listing,2025-11-10
Biosimilars,In-House,Medical Device,Sr. Manager Operations,a0dPQ000000GS5BYAW,0033000000OhnrZAAR,Recycled,Priority 2,APAC & Oceania,Large,Platform,Qx,Direct/Inbound,2024-02-06
Biosimilars,In-House,Medical Device,Sr. Manager Operations,a0dPQ000004AWvZYAW,0033000000OhnrZAAR,Recycled,Priority 2,APAC & Oceania,Large,Logbooks,Mx,External Demand Gen,2025-04-11
Imaging systems,In-House,Medical Device,QA/RA Manager,a0dPQ000002FDIOYA4,0033000000P8xKOAAZ,Recycled,Priority 2,Americas,Small,Mx,Mx,Email,2024-11-12
Generics manufacturing,In-House,Pharma & BioTech,DGM,a0dPQ000006RciTYAS,0033000000PNNVtAAP,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2025-07-10
Generics manufacturing,In-House,Pharma & BioTech,DGM,a0dPQ000008l2WQYAY,0033000000PNNVtAAP,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2025-09-14
Implantable devices,CDMO,Medical Device,CEO,a0dPQ000002SV9NYAW,0033000000PQDxrAAH,SQO,No Priority,Americas,Medium,Mx,Mx,Outbound Prospecting,2024-12-05
Blood and Plasma-related products,In-House,Pharma & BioTech,"Sr. Compliance Auditor, Quality Assurance",a0dPQ000000Buy9YAC,0033000000PYGBqAAP,Recycled,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-25
Not Enough Info Found,In-House,Non-Life Science,Director Of Quality,a0dPQ00000CYYbbYAH,0033000000PWs3SAAT,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-11-14
Not Enough Info Found,In-House,Non-Life Science,quality engineer,a0dPQ000001gLHBYA2,0033000000Qmm1WAAR,Recycled,Priority 1,Americas,Large,Mx,Mx,Online Ads,2024-09-12
Lateral-flow test strip,In-House,Blood & Biologics,Quality Systems Manager,a0dPQ00000B2V9TYAV,0033000000QFazlAAD,Recycled,P1 - Webinar Demo,Americas,Medium,Mx,Mx,Email,2025-10-29
Not Enough Info Found,In-House,Non-Life Science,QA Manager,a0dPQ000000GZwHYAW,0033000000R4XYOAA3,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-02-06
Biologic API,In-House,Pharma & BioTech,Analytical Strategy Lead,a0dPQ000001oaMHYAY,0033000000RFGIHAA5,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-09-30
,,Non-Life Science,QA,a0dPQ000009FAczYAG,0033000000RphihAAB,Recycled,P1 - Webinar Demo,Americas,Medium,Qx,Qx,External Demand Gen,2025-09-26
Cosmetics manufacturing,In-House,Pharma & BioTech,Vice President,a0dPQ00000EWpveYAD,0033000000RXbetAAD,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2025-12-11
Implantable devices,Original Equipment Manufacturing,Medical Device,Quality Engineer,a0dPQ000000tUgbYAE,0033000000TBcCTAA1,Recycled,Priority 2,Americas,Medium,Platform,Qx,SEO,2024-05-20
Oral solid dosage (OSD),In-House,Pharma & BioTech,Senior/Principal Engineer,a0dPQ000000HfjVYAS,0033000000SAaTVAA1,Recycled,Priority 2,EMEA,Large,Qx,Qx,External Demand Gen,2024-02-08
Diagnostic Equipment,CMO,Medical Device,Q A Manger,a0dPQ000002lLMPYA2,0033000000TTOZWAA5,Recycled,Priority 2,Americas,Small,Qx,Qx,Directory Listing,2025-01-15
,,Non-Life Science,QA Officer,a0dPQ00000145a1YAA,0033000000UqjRkAAJ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-06-18
,,Non-Life Science,QA Officer,a0dPQ000001xeQfYAI,0033000000UqjRkAAJ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-10-10
Wound Care,Original Equipment Manufacturing,Medical Device,QA,a0dPQ000001lg85YAA,0033000000UAgyUAAT,Recycled,No Priority,Americas,Small,MISSING/BLANK,Qx,Outbound Prospecting,2024-09-24
Diagnostic Equipment,In-House,Medical Device,CSO,a0dPQ000003ATv3YAG,0033000000V7kKHAAZ,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2025-02-04
In-vitro diagnostic (IVD) kits,In-House,Medical Device,QA Manager,a0dPQ000000oTurYAE,0033000000VP73JAAT,Recycled,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-05-06
Biologic API,In-House,Non-Life Science,Senior Vice President of Information Technology,a0dPQ000004XlAjYAK,0033000000VOeucAAD,Recycled,Priority 2,Americas,Medium,Platform,Qx,SEO,2025-05-19
Medical gas,In-House,Non-Life Science,Manager,a0dPQ000000ksVFYAY,0033000000WjMyiAAF,Recycled,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-04-25
Diagnostic Equipment,In-House,Medical Device,Vice President Quality,a0dPQ000000C9kHYAS,0033000000XGyJRAA1,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2024-01-26
,,Non-Life Science,CONSULTANT,a0dPQ000000QFJZYA4,0033000000YLxjcAAD,Recycled,Priority 2,Americas,Medium,Mx,Mx,Direct/Inbound,2024-02-27
Dental instruments,In-House,Medical Device,Validation,a0dPQ000003fYIXYA2,0033000000YrhCmAAJ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-02-25
Not Enough Info Found,CDMO,Medical Device,Director,a0dPQ0000023wG2YAI,0033000000YssfjAAB,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-10-23
Biologic API,In-House,Pharma & BioTech,Sr RA Director,a0dPQ000000NjZ7YAK,0033000000ZNZmWAAX,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-02-22
Cell banking,CDMO,Pharma & BioTech,Scientific Advisor,a0dPQ000003gEuUYAU,0033000000aIt1wAAC,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2025-02-25
Specialty Chemical Manufacturing,CMO,Pharma & BioTech,Batch Record Review Supervisor,a0dPQ000001IGKHYA4,0033000000YsqRWAAZ,Recycled,No Priority,Americas,Medium,MISSING/BLANK,Qx,Online Ads,2024-07-24
Implantable devices,CDMO,Medical Device,Sr Quality Systems Compliance Manager,a0d3t00000kntH5AAI,0033000000dKmp3AAC,Recycled,No Priority,Americas,Medium,Qx,Qx,Online Ads,2024-01-09
Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Research Engineer,a0dPQ000002e09pYAA,0033000000dKmucAAC,Recycled,No Priority,Americas,Large,MISSING/BLANK,Qx,Outbound Prospecting,2025-01-02
Non-manufacturing organization,Services / Consulting,Blood & Biologics,"Operational Centre Manager, HPFB INSPECTORATE",a0dPQ000005RIu1YAG,0033000000e0NkbAAE,Recycled,Priority 2,Americas,Medium,Platform,Qx,Email,2025-06-13
,,Non-Life Science,Information Technology Manager,a0dPQ000000LtntYAC,0033000000fISxZAAW,Recycled,No Priority,EMEA,Medium,Manufacturing,Mx,Direct/Inbound,2024-02-19
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,INVOICE SUBMITTAL,a0dPQ000004F5t7YAC,0033000000aJuNkAAK,Exclude,No Priority,Americas,Large,MISSING/BLANK,Qx,MISSING/BLANK,2025-04-18
Patient monitoring systems,In-House,Pharma & BioTech,Office Manager,a0dPQ000006waFlYAI,0033000000faowSAAQ,,No Priority,Americas,Small,MISSING/BLANK,Qx,Outbound Prospecting,2025-07-24
Oral solid dosage (OSD),In-House,Pharma & BioTech,Manager,a0dPQ000005uGvFYAU,0033000000e16qBAAQ,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Direct/Inbound,2025-06-26
Non-manufacturing organization,Not Enough Info Found,Unknown,Owner/Sr. Consultant,a0dPQ00000BHNjZYAX,0033000000mwvGiAAI,Recycled,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-11-03
Small-molecule API,In-House,Pharma & BioTech,Compliance Officer,a0dPQ0000023GALYA2,0033000000mxhV9AAI,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-10-23
Highly potent API,CDMO,Pharma & BioTech,IT QMS Manager,a0dPQ000001IHTFYA4,0033000000kMHSGAA4,Recycled,Priority 2,EMEA,Large,Qx,Qx,Direct/Inbound,2024-07-24
